///Team Insists You Move|||
///Character|Line||
Aloof sniper|They'll all meet their end in the sights of my scope.||
Mystic|Is that not how we all meet our ends? For all we not all fixed in the scope of life?||
Medic|It's how you're all going to end if we don't move out of the damn fire.||
Player|It's time to move now. We group for a fight.|8|B1-1
C.O.|I'm nary inclined to disagree with that notion. ||
Player|I said we hold our positions.||
The loveable giant|We've got each other either way.||
UWA~!|That's the spirit! We route them with our fighting skills for sure!|3|
Legacy soldier|Blood will be shed- ...or, ichor?|1|
Nerd|These interstellar cephalopods are 90% liquid, like a watermelon. Most of that liquid is highly corrosive to the touch. |3|
Nerd|Touching or ingesting these excretions is neither recommended, or encouraged, by the Republic|3|
Mystic|The ichor flows as the passage of time, a blemish until all is extinguished.|2|
Nerd|...it also notably can have hallucinogenic properties.||
Mystic|This is no hallucination. This is divination. For I speak as I have been shown by those nor bound by our fragile mortal coil.||
Medic|...I'll have whatever they're having.|1|
The loveable giant|The watermelon? My son is quite the fan of watermelon, you know.||
Aloof sniper|...it looks like they're getting closer. |1|
Connect|||A9
