///Lads Want to Retreat||///reviewed|
///Character|Line||
Player|So what's next?|4|
The loveable giant|I wonder if we're far enough away now. ||
C.O.|Perhaps we retreat further from here.||
Player|Let's retreat.|8|B3-2
Aloof sniper|We can scope the situation from here.||
Player|Let's stay our position.|8|
UWA~!|Let's rip into them.|1|
Nerd|We will gain a strategic advantage by following Republic guidlines on the matter, as we have all reviewed in our handbooks. |6|
Legacy Soldier|Running from these spineless things?||
Mystic|Waves crash over endless desert. ||
Medic|I'm not gettin liquified, let's bounce.|3|
Mystic|A current quickens in the womb. Children of the sun.||
Connect|||B2
