Retreat||///reviewed|
///Character|Line||
The loveable giant|Living another day, returning to Earth.||
Legacy Soldier|An act of cowardice to back down.||
Player|We can take them now that we regrouped!|10|B4-2
C.O.|Just a little ways further lads!||
UWA~!|This doesn't count! We'll just beat 'em later!||
Aloof sniper|Let the dust settle.||
Nerd|There is no way for us to be defeated here, as the Republic will ensure we see things through.|4|
Medic|No sense in going back to join the dead.|3|
Mystic|Foreboding swims through the debris.||
Connect|||B5-2
