///go together to rally point ///reviewed||||
///Character|Line|Timing|Connection (block name - FOR PLAYER ONLY)|Effects
sniper|Time to rack up my headshot count.|||
legacy|These kills are for you, father!|||
Mystic|The medusozoa pulses within me. I feel its neurons.|1||
giant|We can do this without shooting back!|1||
Medic|I... hate... running...|||
Nerd|Sir... Republic metrics show that stacking up like this is incredibly dangerous, I recommend avoiding this strategy in future!|1||
Player|Just fight through the pain, men!|6|XB5|
oorah|Get behind me, bitches! I'll take 'em out!|3||
C.O.|Forward gentlemen!|3||
Connect|||XB5|
