///Plasma Mountain Death Pass|||
///Character|Line||
Mystic|Do we ascend towards the heaven, or rise before the fall?||
Player|It's... very quiet now.|10|
The loveable giant|It's like a road trip! Do we have a radio in here?||
C.O.|I can just make out the shape of a flagship in the sky!||
Aloof sniper|The window seems jammed. Unless I shoot through it, we're unarmed in here.||
Nerd|The oxygen levels outside are dropping considerably.||
UWA~!|Might as well kick our feet up until we can run over some jellies!||
Medic|There's no rations in here... if it's a long trip, well,,, We'll have to find an alternative.|4|
Legacy Soldier|I should be the one driving this.||
C.O.|Maybe we can put it on autodrive to get a few moments to rest.||
Player|Do you... feel something?|5|
Connect|||C3
