///out of volcano||||
///Character|Line|Timing|Connection (block name - FOR PLAYER ONLY)|Effects
oorah|We made it out. Let's all compare kills!|||
medic|I need to rest my eyes.|1||
nerd|We should hold and check for any dieseases native to the medusozoa homeworld!|1||
C.O.|Another task complete!|||
Player|Let's set up camp for now, people.|6|C6-1|
sniper|No rest for the wicked. |1||
giant|Let's eat smores around a campfire, guys!|1||
legacy|This mission will earn me five commedations!|||
mystic|The night sky screams in agony...|||
legacy|We're showing our will. Let's push through the night.|4||
Connect|||C8-2|
