///Push On In The Morning|||
///Character|Line|Timing|Connection (block name - FOR PLAYER ONLY)
UWA~!|That was a... a hard night.||
Medic|Not much left to take of them. ||
C.O.|We'll all need a bevvy after this.|1|
Legacy Soldier|We can mourn later. We do them no good dying now.||
Player|We'll remember our fallen friend. Let's keep moving.||
Aloof sniper|...we push on.||
The loveable giant|We'll have to tell their family about this...||
Nerd|I... this shouldn't have happened.||
Mystic|Death is merely a middling point. A hatch in a hall of mirrors.|4|
Connect|||C9
