///Molten Blood Valley|||
///Character|Line|Timing|Connection (block name - FOR PLAYER ONLY)
nerd|According to my current readings, the further we decend into this valley, the further the air becomes saturated with acrid gasses. ||
Player|What's...that on the ground?|6|
giant|The ground is looking a bit...wet.||
legacy|We shouldn't be jumping at our own shadows. ||
Player|Is this fucking lava??|6|
C.O.|I don't recall this place on my briefing chart.|1|
sniper|The heat is affecting my digi-scope. ||
oorah|I think I got swamp-ass from this heat!||
Player|So - are we agreeing the molten blood is normal or not??|4|
medic|We're gonna die in this fiery cesspool!|2|
mystic|This land is bleeding.|2|
Connect|||D2
