///Look back on the carnage||||
///Character|Line|Timing|Connection (block name - FOR PLAYER ONLY)|Effects
oorah|Those damn jigglies got us on the run..|||
Player|Let's just keep pushing to the safety camp, men.|||
nerd|On average, we've found more failure than success today.|||
legacy|I wonder if father would be proud of me.|||
C.O.|It's been quite a day.|||
medic|So many brothers beyond saving.|||
sniper|I'll kill more jellies in the next battle.|||
mystic|All of the dead...they speak to me..|||
giant|I think of my family during quiet moments like this.||5|
Connect|||E1|
