///Retreat|||
///Character|Line||
C.O.|Just a little ways further lads!||
Legacy Soldier|Truly an act of cowardice to back down like this.||
Player|We can take them now that we regrouped!|10|B4-2
The loveable giant|Living another day to fight, and return to our family, seems the wisest choice.||
UWA~!|We can regroup for a better assault!||
Aloof sniper|The dust has not settled.||
Nerd|There is no way for us to be defeated here, as the Republic will ensure we see things through.|4|
Medic|No sense in going back and joining those other saps in the grave.|3|
Mystic|Foreboding fills the air, swimming through the debris.||
Connect|||B5-2
