///There's no sport in this||||
///Character|Line|Timing|Connection (block name - FOR PLAYER ONLY)|Effects
sniper|There's no sport in sneaking.|1||
medic|Live another day.|||
giant|There's no way that thing could have beat us.|||
C.O.|A round of fisticuffs is good for the soul!|||
oorah|A little goo puts hair on the chest!|||
PLAYER|Quit yammering.|6|D8-1|
nerd|I do prefer living...|3||
legacy|Well, I'm trying to get out of here alive!|2||
mystic|I'd love to see one of those up close someday|2||
Connect|||D4-2|
